name,rating,picture,rank
James Cameron,8.75,"https://m.media-amazon.com/images/M/MV5BMjI0MjMzOTg2MF5BMl5BanBnXkFtZTcwMTM3NjQxMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",1
David Fincher,8.6,"https://m.media-amazon.com/images/M/MV5BMTc1NDkwMTQ2MF5BMl5BanBnXkFtZTcwMzY0ODkyMg@@._V1_UX140_CR0,0,140,209_AL_.jpg",2
Satoshi Kon,8.5,"https://m.media-amazon.com/images/M/MV5BZGZjNzFmY2YtMzNlNi00YThlLWEyNjAtYTI4ZTA2YzcyNGY5XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY209_CR116,0,140,209_AL_.jpg",3
Quentin Tarantino,8.4,"https://m.media-amazon.com/images/M/MV5BMTgyMjI3ODA3Nl5BMl5BanBnXkFtZTcwNzY2MDYxOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",4
Francis Ford Coppola,8.33,"https://m.media-amazon.com/images/M/MV5BMTM5NDU3OTgyNV5BMl5BanBnXkFtZTcwMzQxODA0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",5
Byron Howard,8,"https://m.media-amazon.com/images/M/MV5BMTQ5MTUzNDYxM15BMl5BanBnXkFtZTcwMDgyMzA4MQ@@._V1_UY209_CR86,0,140,209_AL_.jpg",6
David Lynch,8,"https://m.media-amazon.com/images/M/MV5BMTQ1MTY2MTY2Nl5BMl5BanBnXkFtZTcwMDg1ODYwNA@@._V1_UY209_CR14,0,140,209_AL_.jpg",7
Chan-wook Park,8,"https://m.media-amazon.com/images/M/MV5BMTgyODk3MTU5OV5BMl5BanBnXkFtZTcwMTc3NjcyMQ@@._V1_UY209_CR10,0,140,209_AL_.jpg",8
Martin Scorsese,8,"https://m.media-amazon.com/images/M/MV5BMTcyNDA4Nzk3N15BMl5BanBnXkFtZTcwNDYzMjMxMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",9
Edgar Wright,8,"https://m.media-amazon.com/images/M/MV5BMTMxMjgyMjQ4NF5BMl5BanBnXkFtZTcwMTU0ODk2Mw@@._V1_UY209_CR4,0,140,209_AL_.jpg",10
Peter Jackson,7.8,"https://m.media-amazon.com/images/M/MV5BMTY1MzQ3NjA2OV5BMl5BanBnXkFtZTcwNTExOTA5OA@@._V1_UY209_CR6,0,140,209_AL_.jpg",11
Christopher Nolan,7.78,"https://m.media-amazon.com/images/M/MV5BNjE3NDQyOTYyMV5BMl5BanBnXkFtZTcwODcyODU2Mw@@._V1_UY209_CR5,0,140,209_AL_.jpg",12
Robert Zemeckis,7.75,"https://m.media-amazon.com/images/M/MV5BMTgyMTMzMDUyNl5BMl5BanBnXkFtZTcwODA0ODMyMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",13
Alejandro G. Iñárritu,7.67,"https://m.media-amazon.com/images/M/MV5BMTcwNDMyOTMzMl5BMl5BanBnXkFtZTcwODQ0OTE0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",14
Brad Bird,7.6,"https://m.media-amazon.com/images/M/MV5BMTk5Mzg1ODcyNV5BMl5BanBnXkFtZTcwMjU1ODkyMw@@._V1_UY209_CR9,0,140,209_AL_.jpg",15
Lee Unkrich,7.6,"https://m.media-amazon.com/images/M/MV5BMjA1ODE2NTEzN15BMl5BanBnXkFtZTYwNzUzODY2._V1_UY209_CR4,0,140,209_AL_.jpg",16
Andrew Adamson,7.5,"https://m.media-amazon.com/images/M/MV5BOGU4OTY4MzYtMzQzMC00Yjc3LTk1ZjctNDRiMzFjMjdkZDBmXkEyXkFqcGdeQXVyMTY5NzUwOQ@@._V1_UY209_CR17,0,140,209_AL_.jpg",17
Ron Clements,7.4,"https://m.media-amazon.com/images/M/MV5BMTM0MDAxMjU4N15BMl5BanBnXkFtZTcwMzQ1MjcxMw@@._V1_UY209_CR86,0,140,209_AL_.jpg",18
John Musker,7.4,"https://m.media-amazon.com/images/M/MV5BMzU2NjUyMTQ2N15BMl5BanBnXkFtZTcwNDc1NDM3Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",19
Guy Ritchie,7.33,"https://m.media-amazon.com/images/M/MV5BMTM2NDkxMTcxMl5BMl5BanBnXkFtZTcwNTMyNjI5MQ@@._V1_UY209_CR6,0,140,209_AL_.jpg",20
Andrew Stanton,7.33,"https://m.media-amazon.com/images/M/MV5BMTY0MTIyMzAzNF5BMl5BanBnXkFtZTcwNDUzNjQ0Nw@@._V1_UY209_CR14,0,140,209_AL_.jpg",21
Gore Verbinski,7.33,"https://m.media-amazon.com/images/M/MV5BMTY5ODAzNzg5OV5BMl5BanBnXkFtZTcwOTkwMjIwMQ@@._V1_UY209_CR11,0,140,209_AL_.jpg",22
Kazuya Tsurumaki,7.25,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,23
Hideaki Anno,7.2,"https://m.media-amazon.com/images/M/MV5BZjUxZDQ4ZWItYTFiMS00MTdhLWI5YTEtZjViMjM1NDFiZDVkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UX140_CR0,0,140,209_AL_.jpg",24
Makoto Shinkai,7.2,"https://m.media-amazon.com/images/M/MV5BN2IxMTg5YmEtMWQ5NC00NDQyLTliOWQtMjkxYTU5NDFmMmQyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg",25
Steven Spielberg,7.2,"https://m.media-amazon.com/images/M/MV5BMTY1NjAzNzE1MV5BMl5BanBnXkFtZTYwNTk0ODc0._V1_UX140_CR0,0,140,209_AL_.jpg",26
Tim Burton,7,"https://m.media-amazon.com/images/M/MV5BMTcwNTc4NTMzOF5BMl5BanBnXkFtZTYwMzc5ODYz._V1_UX140_CR0,0,140,209_AL_.jpg",27
Guillermo del Toro,7,"https://m.media-amazon.com/images/M/MV5BOTUzNTYwNjE0N15BMl5BanBnXkFtZTcwMjc0ODM1Mw@@._V1_UY209_CR13,0,140,209_AL_.jpg",28
Sam Mendes,7,"https://m.media-amazon.com/images/M/MV5BNTgzODMyMDUwNF5BMl5BanBnXkFtZTcwNzEyMjAyMg@@._V1_UX140_CR0,0,140,209_AL_.jpg",29
Jay Oliva,"7
1.","https://m.media-amazon.com/images/M/MV5BNzEzNDU0MzI3OV5BMl5BanBnXkFtZTgwMjMwMDM2MDE@._V1_UY209_CR42,0,140,209_AL_.jpg",30
Matthew Vaughn,7,"https://m.media-amazon.com/images/M/MV5BMTQyOTc5NzA0M15BMl5BanBnXkFtZTYwODQ2MjYz._V1_UX140_CR0,0,140,209_AL_.jpg",31
Chris Williams,7,"https://m.media-amazon.com/images/M/MV5BMTcwMDM4NzM3OF5BMl5BanBnXkFtZTcwOTYwNzkyMg@@._V1_UY209_CR25,0,140,209_AL_.jpg",32
James Wan,6.86,"https://m.media-amazon.com/images/M/MV5BMTY5NzExMTQ5N15BMl5BanBnXkFtZTcwNjY1NDQzOQ@@._V1_UY209_CR38,0,140,209_AL_.jpg",33
Woody Allen,6.67,"https://m.media-amazon.com/images/M/MV5BMTI1MjU3MTI2MF5BMl5BanBnXkFtZTcwMDgxNTE4MQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",34
Kenneth Branagh,6.67,"https://m.media-amazon.com/images/M/MV5BMjI0NTQ4Mjk5Ml5BMl5BanBnXkFtZTcwMDc1NjkzNw@@._V1_UY209_CR3,0,140,209_AL_.jpg",35
Masayuki,6.67,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,36
