Franchise,Total,Releases,#1 Release,Lifetime Gross
Marvel Cinematic Universe,8546269257,25,Avengers: Endgame,858373000
Star Wars,5080236177,21,Star Wars: Episode VII - The Force Awakens,936662225
Disney Live Action Reimaginings,3407690881,16,The Lion King,543638043
J.K. Rowling's Wizarding World,2786941008,26,Harry Potter and the Deathly Hallows: Part 2,381011219
Spider-Man,2496998119,9,Spider-Man,403706375
X-Men,2446962324,14,Deadpool,363070709
Batman,2411419947,19,The Dark Knight,533345358
Harry Potter,2393347532,24,Harry Potter and the Deathly Hallows: Part 2,381011219
DC Extended Universe,2147685393,8,Wonder Woman,412563408
James Bond,2112905402,25,Skyfall,304360277
Jurassic Park,1884463659,8,Jurassic World,652270625
Middle Earth,1852432231,11,The Lord of the Rings: The Return of the King,377027325
Avengers,1761179260,3,Avengers: Infinity War,678815482
The Fast and the Furious,1690757371,9,Furious 7,353007020
Transformers,1582401601,7,Transformers: Revenge of the Fallen,402111870
Pirates of the Caribbean,1451780833,5,Pirates of the Caribbean: Dead Man's Chest,423315812
The Hunger Games,1451538526,4,The Hunger Games: Catching Fire,424668047
Shrek,1419608493,5,Shrek 2,441226247
Star Trek,1401298985,14,Star Trek,257730019
Twilight,1365922347,7,The Twilight Saga: Eclipse,300531751
Toy Story,1317393746,5,Toy Story 4,434038008
Despicable Me,1220249440,4,Despicable Me 2,368065385
The Dark Knight Trilogy,1190225564,6,The Dark Knight,533345358
Mission: Impossible,1155020930,6,Mission: Impossible - Fallout,220159104
Superman,1139755856,8,Batman v Superman: Dawn of Justice,330360194
The Lord of the Rings,1066413440,9,The Lord of the Rings: The Return of the King,377027325
Iron Man,1040481451,4,Iron Man 3,409013994
Indiana Jones,942303167,7,Indiana Jones and the Kingdom of the Crystal Skull,317101119
Frozen,878111587,2,Frozen II,477373578
The Incredibles,870022836,2,The Incredibles 2,608581744
Finding Nemo,867138822,3,Finding Dory,486295561
Captain America,844505426,3,Captain America: Civil War,408084349
Jumanji,821871357,5,Jumanji: Welcome to the Jungle,404515480
The Hobbit,816490211,3,The Hobbit: An Unexpected Journey,303003568
Bourne,801012974,5,The Bourne Ultimatum,227471070
Planet of the Apes,794023990,9,Dawn of the Planet of the Apes,208545589
Ice Age,793676582,5,Ice Age: Dawn of the Dinosaurs,196573705
Rocky,792040919,9,Rocky IV,127873716
Avatar,760507625,2,Avatar,749766139
Star Wars Anthology,745944836,2,Rogue One: A Star Wars Story,532177324
Guardians of the Galaxy,722989701,2,Guardians of the Galaxy Vol. 2,389813101
Men in Black,703448488,5,Men in Black,250690539
Thor,702451053,3,Thor: Ragnarok,315058289
Deadpool,687662444,3,Deadpool,363070709
Madagascar,673848864,4,Madagascar 3: Europe's Most Wanted,216391482
Terminator,671959968,7,Terminator 2: Judgment Day,204843345
Alvin and the Chipmunks,662743627,5,Alvin and the Chipmunks: The Squeakquel,219614612
